epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2203.13,0.57961,0.91951,1,0.25528,0.000414823,0.000414823,0.000414823
2,2756.94,0.35527,0.90187,1,0.32063,0.000815026,0.000815026,0.000815026
3,3316.22,0.33294,0.90408,1,0.26766,0.00119873,0.00119873,0.00119873
4,3863.59,0.35343,0.92944,1,0.25366,0.00117575,0.00117575,0.00117575
5,4411.33,0.32495,0.93275,1,0.22187,0.001151,0.001151,0.001151
6,4957.58,0.28468,0.93716,1,0.1936,0.00112625,0.00112625,0.00112625
7,5520.32,0.26877,0.92723,1,0.21213,0.0011015,0.0011015,0.0011015
8,6063.33,0.26189,0.92393,1,0.23194,0.00107675,0.00107675,0.00107675
9,6608.34,0.24494,0.93826,1,0.18814,0.001052,0.001052,0.001052
10,7158.41,0.21626,0.93605,1,0.20252,0.00102725,0.00102725,0.00102725
11,7699.47,0.22663,0.93826,1,0.2314,0.0010025,0.0010025,0.0010025
12,8241.54,0.2186,0.94157,1,0.19595,0.00097775,0.00097775,0.00097775
13,8781.28,0.20301,0.94708,1,0.16913,0.000953,0.000953,0.000953
14,9334.17,0.20211,0.93826,1,0.19164,0.00092825,0.00092825,0.00092825
15,9886.08,0.1919,0.93936,1,0.20138,0.0009035,0.0009035,0.0009035
16,10427.9,0.2084,0.94377,1,0.188,0.00087875,0.00087875,0.00087875
17,10970.2,0.1882,0.94377,1,0.18001,0.000854,0.000854,0.000854
18,11521,0.17036,0.94708,1,0.17187,0.00082925,0.00082925,0.00082925
19,12063.9,0.17843,0.94046,1,0.18229,0.0008045,0.0008045,0.0008045
20,12606.4,0.16953,0.94157,1,0.18826,0.00077975,0.00077975,0.00077975
21,13146.7,0.16445,0.94818,1,0.17981,0.000755,0.000755,0.000755
22,13688,0.16981,0.94267,1,0.19399,0.00073025,0.00073025,0.00073025
23,14230.9,0.15589,0.93826,1,0.20206,0.0007055,0.0007055,0.0007055
24,14775.9,0.15404,0.94157,1,0.17451,0.00068075,0.00068075,0.00068075
25,15354.5,0.14478,0.94708,1,0.21546,0.000656,0.000656,0.000656
26,15898.6,0.13678,0.93605,1,0.21023,0.00063125,0.00063125,0.00063125
27,16443.1,0.15043,0.94598,1,0.20447,0.0006065,0.0006065,0.0006065
28,17000.8,0.14282,0.94267,1,0.18614,0.00058175,0.00058175,0.00058175
29,17542.8,0.126,0.94928,1,0.19117,0.000557,0.000557,0.000557
30,18088.8,0.12976,0.94598,1,0.20813,0.00053225,0.00053225,0.00053225
31,18641.7,0.13355,0.94267,1,0.18964,0.0005075,0.0005075,0.0005075
32,19193.5,0.11361,0.94818,1,0.20261,0.00048275,0.00048275,0.00048275
33,19732.8,0.12634,0.94377,1,0.22575,0.000458,0.000458,0.000458
34,20284.3,0.12896,0.94598,1,0.17653,0.00043325,0.00043325,0.00043325
35,20829.2,0.11973,0.94377,1,0.19717,0.0004085,0.0004085,0.0004085
36,21372.1,0.12001,0.94598,1,0.19518,0.00038375,0.00038375,0.00038375
37,21924.3,0.09646,0.94708,1,0.19145,0.000359,0.000359,0.000359
38,22473.6,0.09626,0.94708,1,0.21853,0.00033425,0.00033425,0.00033425
39,23016,0.09558,0.94818,1,0.21522,0.0003095,0.0003095,0.0003095
40,23557,0.10202,0.94598,1,0.21009,0.00028475,0.00028475,0.00028475
41,24101.8,0.1074,0.94928,1,0.18462,0.00026,0.00026,0.00026
42,24646.1,0.09628,0.95149,1,0.19066,0.00023525,0.00023525,0.00023525
43,25188.3,0.09694,0.94928,1,0.19343,0.0002105,0.0002105,0.0002105
44,25741.1,0.0892,0.94928,1,0.1868,0.00018575,0.00018575,0.00018575
45,26286.2,0.1,0.94928,1,0.19029,0.000161,0.000161,0.000161
46,26827.5,0.08365,0.94928,1,0.19717,0.00013625,0.00013625,0.00013625
47,27373,0.0814,0.94928,1,0.19367,0.0001115,0.0001115,0.0001115
48,27916.3,0.07623,0.95039,1,0.20291,8.675e-05,8.675e-05,8.675e-05
49,28476,0.07866,0.95039,1,0.19412,6.2e-05,6.2e-05,6.2e-05
50,29024,0.07289,0.95039,1,0.20137,3.725e-05,3.725e-05,3.725e-05
